first_name,last_name,email,gender,income,tax_15,income_norm
Alverta,Colkett,acolkett0@cocolog-nifty.com,Female,123072.34,18460.851,0.3458860427277807
Nichole,Brandassi,nbrandassi1@mail.ru,Bigender,160766.6666666667,24115.0,0.46680145649834043
Ruperto,Chaddock,rchaddock2@mail.ru,Male,62524.77,9378.72,0.15166226618726344
Lula,Sorrill,lsorrill3@hatena.ne.jp,Female,48000.77,7200.12,0.10507235134056567
Blondell,Benard,bbenard4@admin.ch,Female,88638.49,13295.77,0.2354295473171525
Jacquelyn,Fawdry,jfawdry5@addthis.com,Female,96620.0,14493.0,0.2610325403802251
Kurt,Dugue,kdugue6@istockphoto.com,Male,105041.02,15756.15,0.2880453884057235
Cordelie,Bloxsom,cbloxsom7@state.gov,Female,236589.68,35488.45,0.7100256188929995
Katinka,Renzo,krenzo8@thetimes.co.uk,Female,194301.63,29145.24,0.5743745139265373
Ketty,Pakeman,kpakeman9@chicagotribune.com,Female,239219.05,35882.8575,0.7184600807768099
Nicky,Cooley,ncooleya@mayoclinic.com,Genderfluid,220441.77,33066.27,0.6582265448189056
Tarrah,Boot,tbootb@joomla.org,Female,103297.25,15494.59,0.2824517436926812
Bert,Edmondson,bedmondsonc@usatoday.com,Male,217100.07,32565.0105,0.6475070792141681
Carlotta,Franzoli,cfranzolid@jiathis.com,Female,194280.0,29142.0,0.574305129469216
Ryan,Densumbe,rdensumbee@cyberchimps.com,Male,138737.32,20810.6,0.39613597967870495
Jill,Minthorpe,jminthorpef@blinklist.com,Female,101308.01,15196.2,0.27607068322658057
Christiano,Calow,ccalowg@surveymonkey.com,Male,61107.21,9166.08,0.14711503404115459
Ame,Ambrozewicz,aambrozewiczh@ihg.com,Female,33310.48,4996.57,0.057949013405196925
Leena,Fellgett,lfellgetti@slate.com,Female,138446.69,20767.0,0.395203700213551
Coralyn,Stockey,cstockeyj@typepad.com,Female,89765.7,13464.855,0.23904539817878467
Edith,Hamlington,ehamlingtonk@wordpress.com,Female,116205.81,17430.87,0.3238596692774711
Ofelia,Farquar,ofarquarl@jiathis.com,Bigender,159307.22,23896.08,0.4621198607999586
Joan,Overton,jovertonm@samsung.com,Female,220131.53,33019.73,0.6572313606284595
Elyse,Tome,etomen@census.gov,Female,34081.51,5112.23,0.06042231428954348
Nissa,Moen,nmoeno@diigo.com,Female,67814.79,10172.22,0.16863152956769087
Yurik,Foch,yfochp@hhs.gov,Male,82218.38,12332.76,0.2148351946452692
Murvyn,Vanetti,mvanettiq@tmall.com,Male,208761.12,31314.17,0.6207574943607619
Lemuel,Capsey,lcapseyr@yellowbook.com,Male,245300.43,36795.06,0.737967859374332
